Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Norm_Gini_mean,Norm_Gini_std,Revenue_Capture_10_mean,Revenue_Capture_10_std,Lift_10_mean,Lift_10_std,Top5_MAPE_mean,Top5_MAPE_std,Decile_MAPE_mean,Decile_MAPE_std
Hurdle Model,449.49,241.0498,2091.0614,1786.4156,0.4936,0.0453,0.8339,0.0573,60.9614,9.2645,6.0961,0.9265,0.7114,0.1082,0.3946,0.1644
ZILN (Deep Learning),617.7499,366.1771,4407.7621,5288.9414,-5.346,10.4179,0.8334,0.0552,60.199,10.775,6.0199,1.0775,0.7281,0.1247,0.3659,0.153
Hurdle + Sequence,456.9397,247.4286,2187.1784,1948.107,0.4777,0.0793,0.8333,0.0526,59.5838,8.6214,5.9584,0.8621,0.7489,0.0828,0.5953,0.5831
XGBoost (raw),449.8475,220.4267,1980.2392,1577.1799,0.5369,0.0644,0.8222,0.0531,58.8485,9.1441,5.8848,0.9144,0.7597,0.1526,0.4246,0.2807
Monetary,522.3878,277.4703,2736.3281,2052.1381,0.0224,0.1736,0.8221,0.0575,60.0172,8.4055,6.0017,0.8406,1.6772,0.4589,0.8745,0.2027
XGBoost (log),479.7334,296.6593,2703.213,2333.1676,0.2041,0.1313,0.8163,0.0437,56.855,7.3163,5.6855,0.7316,0.7923,0.2758,0.9146,0.0291
LightGBM + Sequence (log),478.0988,282.3981,2733.1046,2308.2147,0.1747,0.1447,0.8111,0.0415,56.6517,6.4113,5.6652,0.6411,0.8344,0.3391,0.9154,0.0375
LightGBM (raw),471.8127,236.1173,2196.3083,1773.0673,0.3419,0.2607,0.8099,0.0727,58.8008,9.2017,5.8801,0.9202,0.845,0.1238,0.2235,0.0507
Linear Regression,455.9759,244.8729,1816.3695,1808.2163,0.5868,0.2324,0.8098,0.0572,60.554,9.6827,6.0554,0.9683,0.7859,0.1081,0.3922,0.0504
Ridge (log),776.4,487.3815,8331.1196,9518.4784,-19.9396,34.6857,0.7967,0.0478,55.1537,8.5108,5.5154,0.8511,0.8241,0.2027,0.9786,0.1549
LightGBM (log),478.3624,294.4546,2677.2788,2346.436,0.2474,0.2122,0.7939,0.0615,56.1223,7.5142,5.6122,0.7514,0.7555,0.2192,0.8991,0.0308
RFM Score,706.9795,399.1896,2874.8657,2398.1871,0.0472,0.0339,0.7161,0.0701,52.6848,9.9027,5.2685,0.9903,0.9762,0.1978,1.389,0.1652
BG/NBD + Gamma-Gamma,549.8901,302.7077,1853.0071,1829.4382,0.6671,0.1583,0.485,0.1717,3.227,2.756,0.3227,0.2756,,,0.4899,0.372
Mean Predictor,765.4812,442.015,2921.6727,2412.1182,-0.0015,0.0021,-0.0486,0.0769,9.7196,2.7284,0.972,0.2728,1.4775,0.0496,0.3664,0.0741
